[13:22:45.997] approver-start sess=ghostty-35640
[13:22:46.749] APPROVED status=idle
[13:22:57.853] poll=10 status=active no-prompt
[13:23:10.348] poll=20 status=idle no-prompt
[13:23:22.945] poll=30 status=idle no-prompt
[13:23:35.491] poll=40 status=idle no-prompt
[13:23:48.046] poll=50 status=active no-prompt
[13:24:00.462] poll=60 status=active no-prompt
[13:24:13.399] poll=70 status=active no-prompt
[13:24:25.970] poll=80 status=active no-prompt
[13:24:38.506] poll=90 status=active no-prompt
[13:24:50.951] poll=100 status=active no-prompt
[13:25:03.575] poll=110 status=active no-prompt
[13:25:16.146] poll=120 status=active no-prompt
[13:25:28.775] poll=130 status=active no-prompt
[13:25:41.519] poll=140 status=active no-prompt
[13:25:54.631] poll=150 status=active no-prompt
[13:26:07.769] poll=160 status=active no-prompt
[13:26:20.603] poll=170 status=active no-prompt
[13:26:33.181] poll=180 status=active no-prompt
[13:26:45.687] poll=190 status=active no-prompt
[13:26:58.309] poll=200 status=active no-prompt
[13:27:11.600] poll=210 status=active no-prompt
[13:27:26.117] poll=220 status=active no-prompt
[13:27:52.628] poll=230 status=active no-prompt
[13:28:21.704] poll=240 status=active no-prompt
[13:28:44.364] poll=250 status=active no-prompt
[13:28:56.987] poll=260 status=active no-prompt
[13:29:09.484] poll=270 status=active no-prompt
[13:29:21.973] poll=280 status=active no-prompt
[13:29:34.613] poll=290 status=active no-prompt
[13:29:47.173] poll=300 status=active no-prompt
[13:29:59.871] poll=310 status=active no-prompt
[13:30:12.361] poll=320 status=active no-prompt
[13:30:24.838] poll=330 status=active no-prompt
[13:30:37.467] poll=340 status=idle no-prompt
[13:30:50.213] poll=350 status=idle no-prompt
[13:31:02.904] poll=360 status=idle no-prompt
[13:31:15.589] poll=370 status=idle no-prompt
[13:31:28.180] poll=380 status=idle no-prompt
[13:31:40.770] poll=390 status=idle no-prompt
[13:31:53.353] poll=400 status=idle no-prompt
[13:32:05.858] poll=410 status=idle no-prompt
[13:32:18.317] poll=420 status=idle no-prompt
[13:32:30.924] poll=430 status=idle no-prompt
[13:32:43.755] poll=440 status=idle no-prompt
[13:32:56.534] poll=450 status=idle no-prompt
[13:33:09.118] poll=460 status=idle no-prompt
[13:33:21.756] poll=470 status=idle no-prompt
[13:33:34.325] poll=480 status=idle no-prompt
[13:33:46.877] poll=490 status=idle no-prompt
[13:33:59.432] poll=500 status=idle no-prompt
[13:34:11.985] poll=510 status=idle no-prompt
[13:34:24.667] poll=520 status=idle no-prompt
[13:34:37.219] poll=530 status=idle no-prompt
